Name	Scope Project1	
File	C:\Users\De_Zhao\Desktop\SmallMisalignment\R005_300to500_s200-01.csv	
Starttime of export	132755800796250000	Mittwoch, 8. September 2021	15:07:59.625
Endtime of export	132755800945728688	Mittwoch, 8. September 2021	15:08:14.572


Name	current
SymbolComment	
Data-Type	REAL64
SampleTime	10
VariableSize	8
SymbolBased	True
IndexGroup	16448
IndexOffset	422320
SymbolName	Measurement_Values.Current_To_Torque_Characteristic.current
NetID	5.27.164.74.1.1
Port	851
Offset	0
ScaleFactor	1
BitMask	0xffffffffffffffff
Unit	(None)
Unit ScaleFactor	1
Unit Offset	0


0	0.9184
10	1.6071999999999997
20	1.9516
30	1.6645999999999999
40	1.435
50	1.2054
60	1.0332000000000001
70	1.2628000000000001
80	1.148
90	1.0906
100	1.2628000000000001
110	1.435
120	1.3776
130	1.5498
140	1.435
150	1.4924000000000002
160	1.4924000000000002
170	1.6071999999999997
180	1.5498
190	1.722
200	1.6645999999999999
210	1.6645999999999999
220	1.6645999999999999
230	1.7793999999999999
240	1.722
250	1.9516
260	1.7793999999999999
270	1.8368
280	1.8368
290	1.7793999999999999
300	1.8368
310	1.8368
320	1.6645999999999999
330	1.8942
340	1.8942
350	1.6645999999999999
360	1.7793999999999999
370	1.7793999999999999
380	1.8942
390	1.7793999999999999
400	1.8942
410	1.7793999999999999
420	1.6071999999999997
430	1.7793999999999999
440	2.0090000000000003
450	1.722
460	1.6645999999999999
470	1.5498
480	1.5498
490	1.5498
500	1.722
510	1.722
520	1.7793999999999999
530	1.6071999999999997
540	1.6071999999999997
550	1.5498
560	1.6071999999999997
570	1.4924000000000002
580	1.4924000000000002
590	1.5498
600	1.6071999999999997
610	1.4924000000000002
620	1.6645999999999999
630	1.5498
640	1.5498
650	1.5498
660	1.5498
670	1.5498
680	1.6645999999999999
690	1.5498
700	1.6071999999999997
710	1.5498
720	1.722
730	1.6071999999999997
740	1.6645999999999999
750	1.4924000000000002
760	1.5498
770	1.5498
780	1.6645999999999999
790	1.6071999999999997
800	1.722
810	1.5498
820	1.6071999999999997
830	1.4924000000000002
840	1.5498
850	1.4924000000000002
860	1.6645999999999999
870	1.5498
880	1.6645999999999999
890	1.4924000000000002
900	1.6071999999999997
910	1.5498
920	1.6071999999999997
930	1.435
940	1.5498
950	1.4924000000000002
960	1.6071999999999997
970	1.3776
980	1.435
990	1.435
1000	1.4924000000000002
1010	1.3776
1020	1.3202
1030	1.2054
1040	1.0906
1050	1.148
1060	1.2628000000000001
1070	1.0332000000000001
1080	1.2628000000000001
1090	1.2628000000000001
1100	1.0332000000000001
1110	1.0332000000000001
1120	1.0332000000000001
1130	0.9758
1140	1.148
1150	1.0332000000000001
1160	0.74620000000000009
1170	0.6888
1180	0.74620000000000009
1190	0.574
1200	0.63140000000000007
1210	0.6888
1220	0.74620000000000009
1230	0.574
1240	0.63140000000000007
1250	0.6888
1260	0.6888
1270	0.51660000000000006
1280	0.6888
1290	0.63140000000000007
1300	0.6888
1310	0.6888
1320	0.74620000000000009
1330	0.574
1340	0.4592
1350	0.574
1360	0.51660000000000006
1370	0.51660000000000006
1380	0.861
1390	0.6888
1400	0.63140000000000007
1410	0.80359999999999987
1420	0.6888
1430	0.74620000000000009
1440	0.9184
1450	1.0906
1460	0.9758
1470	0.74620000000000009
1480	0.574
1490	0.574
1500	0.6888
1510	0.861
1520	0.9184
1530	0.861
1540	0.9184
1550	0.861
1560	0.861
1570	0.9184
1580	0.9184
1590	0.9184
1600	0.9184
1610	0.9758
1620	0.9758
1630	1.0332000000000001
1640	0.9758
1650	0.9758
1660	1.0332000000000001
1670	1.0332000000000001
1680	1.0332000000000001
1690	1.0332000000000001
1700	1.0332000000000001
1710	1.0332000000000001
1720	1.148
1730	1.0906
1740	1.0906
1750	1.0332000000000001
1760	1.148
1770	1.0906
1780	1.148
1790	1.148
1800	1.148
1810	1.0906
1820	1.0332000000000001
1830	0.9184
1840	0.74620000000000009
1850	0.40179999999999994
1860	0.0574
1870	-0.4592
1880	-0.9758
1890	-1.3776
1900	-1.6645999999999999
1910	-1.5498
1920	-1.2054
1930	-0.9758
1940	-1.0906
1950	-1.148
1960	-1.2054
1970	-1.3202
1980	-1.3202
1990	-1.435
2000	-1.5498
2010	-1.3202
2020	-1.435
2030	-1.435
2040	-1.4924000000000002
2050	-1.5498
2060	-1.7793999999999999
2070	-1.722
2080	-1.722
2090	-1.4924000000000002
2100	-1.722
2110	-1.8368
2120	-1.8368
2130	-1.7793999999999999
2140	-1.8368
2150	-1.722
2160	-1.6645999999999999
2170	-1.8368
2180	-1.722
2190	-1.722
2200	-1.8368
2210	-1.8942
2220	-1.6645999999999999
2230	-1.7793999999999999
2240	-1.722
2250	-1.7793999999999999
2260	-1.6071999999999997
2270	-1.8368
2280	-1.7793999999999999
2290	-1.6071999999999997
2300	-1.8368
2310	-1.8942
2320	-1.722
2330	-1.722
2340	-1.4924000000000002
2350	-1.5498
2360	-1.4924000000000002
2370	-1.6071999999999997
2380	-1.5498
2390	-1.722
2400	-1.5498
2410	-1.6645999999999999
2420	-1.6071999999999997
2430	-1.6071999999999997
2440	-1.5498
2450	-1.6071999999999997
2460	-1.6071999999999997
2470	-1.6071999999999997
2480	-1.5498
2490	-1.6645999999999999
2500	-1.6071999999999997
2510	-1.6645999999999999
2520	-1.6071999999999997
2530	-1.6645999999999999
2540	-1.6071999999999997
2550	-1.722
2560	-1.6645999999999999
2570	-1.6071999999999997
2580	-1.6645999999999999
2590	-1.722
2600	-1.5498
